"1,New Jersey Devils,NJD,Devils,/api/v1/teams/1,""{'name': 'Prudential Center', 'link': '/api/v1/venues/null', 'city': 'Newark', 'timeZone': {'id': 'America/New_York', 'offset': -4, 'tz': 'EDT'}}"",New Jersey,1982,""{'id': 18, 'name': 'Metropolitan', 'nameShort': 'Metro', 'link': '/api/v1/divisions/18', 'abbreviation': 'M'}"",""{'id': 6, 'name': 'Eastern', 'link': '/api/v1/conferences/6'}"",""{'franchiseId': 23, 'teamName': 'Devils', 'link': '/api/v1/franchises/23'}"",New Jersey"
"2,New York Islanders,NYI,Islanders,/api/v1/teams/2,""{'id': 5026, 'name': 'Barclays Center', 'link': '/api/v1/venues/5026', 'city': 'Brooklyn', 'timeZone': {'id': 'America/New_York', 'offset': -4, 'tz': 'EDT'}}"",New York,1972,""{'id': 18, 'name': 'Metropolitan', 'nameShort': 'Metro', 'link': '/api/v1/divisions/18', 'abbreviation': 'M'}"",""{'id': 6, 'name': 'Eastern', 'link': '/api/v1/conferences/6'}"",""{'franchiseId': 22, 'teamName': 'Islanders', 'link': '/api/v1/franchises/22'}"",NY Islanders"
"3,New York Rangers,NYR,Rangers,/api/v1/teams/3,""{'id': 5054, 'name': 'Madison Square Garden', 'link': '/api/v1/venues/5054', 'city': 'New York', 'timeZone': {'id': 'America/New_York', 'offset': -4, 'tz': 'EDT'}}"",New York,1926,""{'id': 18, 'name': 'Metropolitan', 'nameShort': 'Metro', 'link': '/api/v1/divisions/18', 'abbreviation': 'M'}"",""{'id': 6, 'name': 'Eastern', 'link': '/api/v1/conferences/6'}"",""{'franchiseId': 10, 'teamName': 'Rangers', 'link': '/api/v1/franchises/10'}"",NY Rangers"
"4,Philadelphia Flyers,PHI,Flyers,/api/v1/teams/4,""{'id': 5096, 'name': 'Wells Fargo Center', 'link': '/api/v1/venues/5096', 'city': 'Philadelphia', 'timeZone': {'id': 'America/New_York', 'offset': -4, 'tz': 'EDT'}}"",Philadelphia,1967,""{'id': 18, 'name': 'Metropolitan', 'nameShort': 'Metro', 'link': '/api/v1/divisions/18', 'abbreviation': 'M'}"",""{'id': 6, 'name': 'Eastern', 'link': '/api/v1/conferences/6'}"",""{'franchiseId': 16, 'teamName': 'Flyers', 'link': '/api/v1/franchises/16'}"",Philadelphia"
"5,Pittsburgh Penguins,PIT,Penguins,/api/v1/teams/5,""{'id': 5034, 'name': 'PPG Paints Arena', 'link': '/api/v1/venues/5034', 'city': 'Pittsburgh', 'timeZone': {'id': 'America/New_York', 'offset': -4, 'tz': 'EDT'}}"",Pittsburgh,1967,""{'id': 18, 'name': 'Metropolitan', 'nameShort': 'Metro', 'link': '/api/v1/divisions/18', 'abbreviation': 'M'}"",""{'id': 6, 'name': 'Eastern', 'link': '/api/v1/conferences/6'}"",""{'franchiseId': 17, 'teamName': 'Penguins', 'link': '/api/v1/franchises/17'}"",Pittsburgh"
"6,Boston Bruins,BOS,Bruins,/api/v1/teams/6,""{'id': 5085, 'name': 'TD Garden', 'link': '/api/v1/venues/5085', 'city': 'Boston', 'timeZone': {'id': 'America/New_York', 'offset': -4, 'tz': 'EDT'}}"",Boston,1924,""{'id': 17, 'name': 'Atlantic', 'nameShort': 'ATL', 'link': '/api/v1/divisions/17', 'abbreviation': 'A'}"",""{'id': 6, 'name': 'Eastern', 'link': '/api/v1/conferences/6'}"",""{'franchiseId': 6, 'teamName': 'Bruins', 'link': '/api/v1/franchises/6'}"",Boston"
"7,Buffalo Sabres,BUF,Sabres,/api/v1/teams/7,""{'id': 5039, 'name': 'KeyBank Center', 'link': '/api/v1/venues/5039', 'city': 'Buffalo', 'timeZone': {'id': 'America/New_York', 'offset': -4, 'tz': 'EDT'}}"",Buffalo,1970,""{'id': 17, 'name': 'Atlantic', 'nameShort': 'ATL', 'link': '/api/v1/divisions/17', 'abbreviation': 'A'}"",""{'id': 6, 'name': 'Eastern', 'link': '/api/v1/conferences/6'}"",""{'franchiseId': 19, 'teamName': 'Sabres', 'link': '/api/v1/franchises/19'}"",Buffalo"
"8,Montréal Canadiens,MTL,Canadiens,/api/v1/teams/8,""{'id': 5028, 'name': 'Bell Centre', 'link': '/api/v1/venues/5028', 'city': 'Montréal', 'timeZone': {'id': 'America/Montreal', 'offset': -4, 'tz': 'EDT'}}"",Montréal,1909,""{'id': 17, 'name': 'Atlantic', 'nameShort': 'ATL', 'link': '/api/v1/divisions/17', 'abbreviation': 'A'}"",""{'id': 6, 'name': 'Eastern', 'link': '/api/v1/conferences/6'}"",""{'franchiseId': 1, 'teamName': 'Canadiens', 'link': '/api/v1/franchises/1'}"",Montréal"
"9,Ottawa Senators,OTT,Senators,/api/v1/teams/9,""{'id': 5031, 'name': 'Canadian Tire Centre', 'link': '/api/v1/venues/5031', 'city': 'Ottawa', 'timeZone': {'id': 'America/New_York', 'offset': -4, 'tz': 'EDT'}}"",Ottawa,1990,""{'id': 17, 'name': 'Atlantic', 'nameShort': 'ATL', 'link': '/api/v1/divisions/17', 'abbreviation': 'A'}"",""{'id': 6, 'name': 'Eastern', 'link': '/api/v1/conferences/6'}"",""{'franchiseId': 30, 'teamName': 'Senators', 'link': '/api/v1/franchises/30'}"",Ottawa"
"10,Toronto Maple Leafs,TOR,Maple Leafs,/api/v1/teams/10,""{'name': 'Scotiabank Arena', 'link': '/api/v1/venues/null', 'city': 'Toronto', 'timeZone': {'id': 'America/Toronto', 'offset': -4, 'tz': 'EDT'}}"",Toronto,1917,""{'id': 17, 'name': 'Atlantic', 'nameShort': 'ATL', 'link': '/api/v1/divisions/17', 'abbreviation': 'A'}"",""{'id': 6, 'name': 'Eastern', 'link': '/api/v1/conferences/6'}"",""{'franchiseId': 5, 'teamName': 'Maple Leafs', 'link': '/api/v1/franchises/5'}"",Toronto"
"12,Carolina Hurricanes,CAR,Hurricanes,/api/v1/teams/12,""{'id': 5066, 'name': 'PNC Arena', 'link': '/api/v1/venues/5066', 'city': 'Raleigh', 'timeZone': {'id': 'America/New_York', 'offset': -4, 'tz': 'EDT'}}"",Carolina,1979,""{'id': 18, 'name': 'Metropolitan', 'nameShort': 'Metro', 'link': '/api/v1/divisions/18', 'abbreviation': 'M'}"",""{'id': 6, 'name': 'Eastern', 'link': '/api/v1/conferences/6'}"",""{'franchiseId': 26, 'teamName': 'Hurricanes', 'link': '/api/v1/franchises/26'}"",Carolina"
"13,Florida Panthers,FLA,Panthers,/api/v1/teams/13,""{'id': 5027, 'name': 'BB&T Center', 'link': '/api/v1/venues/5027', 'city': 'Sunrise', 'timeZone': {'id': 'America/New_York', 'offset': -4, 'tz': 'EDT'}}"",Florida,1993,""{'id': 17, 'name': 'Atlantic', 'nameShort': 'ATL', 'link': '/api/v1/divisions/17', 'abbreviation': 'A'}"",""{'id': 6, 'name': 'Eastern', 'link': '/api/v1/conferences/6'}"",""{'franchiseId': 33, 'teamName': 'Panthers', 'link': '/api/v1/franchises/33'}"",Florida"
"14,Tampa Bay Lightning,TBL,Lightning,/api/v1/teams/14,""{'name': 'AMALIE Arena', 'link': '/api/v1/venues/null', 'city': 'Tampa', 'timeZone': {'id': 'America/New_York', 'offset': -4, 'tz': 'EDT'}}"",Tampa Bay,1991,""{'id': 17, 'name': 'Atlantic', 'nameShort': 'ATL', 'link': '/api/v1/divisions/17', 'abbreviation': 'A'}"",""{'id': 6, 'name': 'Eastern', 'link': '/api/v1/conferences/6'}"",""{'franchiseId': 31, 'teamName': 'Lightning', 'link': '/api/v1/franchises/31'}"",Tampa Bay"
"15,Washington Capitals,WSH,Capitals,/api/v1/teams/15,""{'id': 5094, 'name': 'Capital One Arena', 'link': '/api/v1/venues/5094', 'city': 'Washington', 'timeZone': {'id': 'America/New_York', 'offset': -4, 'tz': 'EDT'}}"",Washington,1974,""{'id': 18, 'name': 'Metropolitan', 'nameShort': 'Metro', 'link': '/api/v1/divisions/18', 'abbreviation': 'M'}"",""{'id': 6, 'name': 'Eastern', 'link': '/api/v1/conferences/6'}"",""{'franchiseId': 24, 'teamName': 'Capitals', 'link': '/api/v1/franchises/24'}"",Washington"
"16,Chicago Blackhawks,CHI,Blackhawks,/api/v1/teams/16,""{'id': 5092, 'name': 'United Center', 'link': '/api/v1/venues/5092', 'city': 'Chicago', 'timeZone': {'id': 'America/Chicago', 'offset': -5, 'tz': 'CDT'}}"",Chicago,1926,""{'id': 16, 'name': 'Central', 'nameShort': 'CEN', 'link': '/api/v1/divisions/16', 'abbreviation': 'C'}"",""{'id': 5, 'name': 'Western', 'link': '/api/v1/conferences/5'}"",""{'franchiseId': 11, 'teamName': 'Blackhawks', 'link': '/api/v1/franchises/11'}"",Chicago"
"17,Detroit Red Wings,DET,Red Wings,/api/v1/teams/17,""{'id': 5145, 'name': 'Little Caesars Arena', 'link': '/api/v1/venues/5145', 'city': 'Detroit', 'timeZone': {'id': 'America/Detroit', 'offset': -4, 'tz': 'EDT'}}"",Detroit,1926,""{'id': 17, 'name': 'Atlantic', 'nameShort': 'ATL', 'link': '/api/v1/divisions/17', 'abbreviation': 'A'}"",""{'id': 6, 'name': 'Eastern', 'link': '/api/v1/conferences/6'}"",""{'franchiseId': 12, 'teamName': 'Red Wings', 'link': '/api/v1/franchises/12'}"",Detroit"
"18,Nashville Predators,NSH,Predators,/api/v1/teams/18,""{'id': 5030, 'name': 'Bridgestone Arena', 'link': '/api/v1/venues/5030', 'city': 'Nashville', 'timeZone': {'id': 'America/Chicago', 'offset': -5, 'tz': 'CDT'}}"",Nashville,1997,""{'id': 16, 'name': 'Central', 'nameShort': 'CEN', 'link': '/api/v1/divisions/16', 'abbreviation': 'C'}"",""{'id': 5, 'name': 'Western', 'link': '/api/v1/conferences/5'}"",""{'franchiseId': 34, 'teamName': 'Predators', 'link': '/api/v1/franchises/34'}"",Nashville"
"19,St. Louis Blues,STL,Blues,/api/v1/teams/19,""{'id': 5076, 'name': 'Enterprise Center', 'link': '/api/v1/venues/5076', 'city': 'St. Louis', 'timeZone': {'id': 'America/Chicago', 'offset': -5, 'tz': 'CDT'}}"",St. Louis,1967,""{'id': 16, 'name': 'Central', 'nameShort': 'CEN', 'link': '/api/v1/divisions/16', 'abbreviation': 'C'}"",""{'id': 5, 'name': 'Western', 'link': '/api/v1/conferences/5'}"",""{'franchiseId': 18, 'teamName': 'Blues', 'link': '/api/v1/franchises/18'}"",St Louis"
"20,Calgary Flames,CGY,Flames,/api/v1/teams/20,""{'id': 5075, 'name': 'Scotiabank Saddledome', 'link': '/api/v1/venues/5075', 'city': 'Calgary', 'timeZone': {'id': 'America/Denver', 'offset': -6, 'tz': 'MDT'}}"",Calgary,1980,""{'id': 15, 'name': 'Pacific', 'nameShort': 'PAC', 'link': '/api/v1/divisions/15', 'abbreviation': 'P'}"",""{'id': 5, 'name': 'Western', 'link': '/api/v1/conferences/5'}"",""{'franchiseId': 21, 'teamName': 'Flames', 'link': '/api/v1/franchises/21'}"",Calgary"
"21,Colorado Avalanche,COL,Avalanche,/api/v1/teams/21,""{'id': 5064, 'name': 'Pepsi Center', 'link': '/api/v1/venues/5064', 'city': 'Denver', 'timeZone': {'id': 'America/Denver', 'offset': -6, 'tz': 'MDT'}}"",Colorado,1979,""{'id': 16, 'name': 'Central', 'nameShort': 'CEN', 'link': '/api/v1/divisions/16', 'abbreviation': 'C'}"",""{'id': 5, 'name': 'Western', 'link': '/api/v1/conferences/5'}"",""{'franchiseId': 27, 'teamName': 'Avalanche', 'link': '/api/v1/franchises/27'}"",Colorado"
"22,Edmonton Oilers,EDM,Oilers,/api/v1/teams/22,""{'id': 5100, 'name': 'Rogers Place', 'link': '/api/v1/venues/5100', 'city': 'Edmonton', 'timeZone': {'id': 'America/Edmonton', 'offset': -6, 'tz': 'MDT'}}"",Edmonton,1979,""{'id': 15, 'name': 'Pacific', 'nameShort': 'PAC', 'link': '/api/v1/divisions/15', 'abbreviation': 'P'}"",""{'id': 5, 'name': 'Western', 'link': '/api/v1/conferences/5'}"",""{'franchiseId': 25, 'teamName': 'Oilers', 'link': '/api/v1/franchises/25'}"",Edmonton"
"23,Vancouver Canucks,VAN,Canucks,/api/v1/teams/23,""{'id': 5073, 'name': 'Rogers Arena', 'link': '/api/v1/venues/5073', 'city': 'Vancouver', 'timeZone': {'id': 'America/Vancouver', 'offset': -7, 'tz': 'PDT'}}"",Vancouver,1970,""{'id': 15, 'name': 'Pacific', 'nameShort': 'PAC', 'link': '/api/v1/divisions/15', 'abbreviation': 'P'}"",""{'id': 5, 'name': 'Western', 'link': '/api/v1/conferences/5'}"",""{'franchiseId': 20, 'teamName': 'Canucks', 'link': '/api/v1/franchises/20'}"",Vancouver"
"24,Anaheim Ducks,ANA,Ducks,/api/v1/teams/24,""{'id': 5046, 'name': 'Honda Center', 'link': '/api/v1/venues/5046', 'city': 'Anaheim', 'timeZone': {'id': 'America/Los_Angeles', 'offset': -7, 'tz': 'PDT'}}"",Anaheim,1993,""{'id': 15, 'name': 'Pacific', 'nameShort': 'PAC', 'link': '/api/v1/divisions/15', 'abbreviation': 'P'}"",""{'id': 5, 'name': 'Western', 'link': '/api/v1/conferences/5'}"",""{'franchiseId': 32, 'teamName': 'Ducks', 'link': '/api/v1/franchises/32'}"",Anaheim"
"25,Dallas Stars,DAL,Stars,/api/v1/teams/25,""{'id': 5019, 'name': 'American Airlines Center', 'link': '/api/v1/venues/5019', 'city': 'Dallas', 'timeZone': {'id': 'America/Chicago', 'offset': -5, 'tz': 'CDT'}}"",Dallas,1967,""{'id': 16, 'name': 'Central', 'nameShort': 'CEN', 'link': '/api/v1/divisions/16', 'abbreviation': 'C'}"",""{'id': 5, 'name': 'Western', 'link': '/api/v1/conferences/5'}"",""{'franchiseId': 15, 'teamName': 'Stars', 'link': '/api/v1/franchises/15'}"",Dallas"
"26,Los Angeles Kings,LAK,Kings,/api/v1/teams/26,""{'id': 5081, 'name': 'STAPLES Center', 'link': '/api/v1/venues/5081', 'city': 'Los Angeles', 'timeZone': {'id': 'America/Los_Angeles', 'offset': -7, 'tz': 'PDT'}}"",Los Angeles,1967,""{'id': 15, 'name': 'Pacific', 'nameShort': 'PAC', 'link': '/api/v1/divisions/15', 'abbreviation': 'P'}"",""{'id': 5, 'name': 'Western', 'link': '/api/v1/conferences/5'}"",""{'franchiseId': 14, 'teamName': 'Kings', 'link': '/api/v1/franchises/14'}"",Los Angeles"
"28,San Jose Sharks,SJS,Sharks,/api/v1/teams/28,""{'name': 'SAP Center at San Jose', 'link': '/api/v1/venues/null', 'city': 'San Jose', 'timeZone': {'id': 'America/Los_Angeles', 'offset': -7, 'tz': 'PDT'}}"",San Jose,1990,""{'id': 15, 'name': 'Pacific', 'nameShort': 'PAC', 'link': '/api/v1/divisions/15', 'abbreviation': 'P'}"",""{'id': 5, 'name': 'Western', 'link': '/api/v1/conferences/5'}"",""{'franchiseId': 29, 'teamName': 'Sharks', 'link': '/api/v1/franchises/29'}"",San Jose"
"29,Columbus Blue Jackets,CBJ,Blue Jackets,/api/v1/teams/29,""{'id': 5059, 'name': 'Nationwide Arena', 'link': '/api/v1/venues/5059', 'city': 'Columbus', 'timeZone': {'id': 'America/New_York', 'offset': -4, 'tz': 'EDT'}}"",Columbus,1997,""{'id': 18, 'name': 'Metropolitan', 'nameShort': 'Metro', 'link': '/api/v1/divisions/18', 'abbreviation': 'M'}"",""{'id': 6, 'name': 'Eastern', 'link': '/api/v1/conferences/6'}"",""{'franchiseId': 36, 'teamName': 'Blue Jackets', 'link': '/api/v1/franchises/36'}"",Columbus"
"30,Minnesota Wild,MIN,Wild,/api/v1/teams/30,""{'id': 5098, 'name': 'Xcel Energy Center', 'link': '/api/v1/venues/5098', 'city': 'St. Paul', 'timeZone': {'id': 'America/Chicago', 'offset': -5, 'tz': 'CDT'}}"",Minnesota,1997,""{'id': 16, 'name': 'Central', 'nameShort': 'CEN', 'link': '/api/v1/divisions/16', 'abbreviation': 'C'}"",""{'id': 5, 'name': 'Western', 'link': '/api/v1/conferences/5'}"",""{'franchiseId': 37, 'teamName': 'Wild', 'link': '/api/v1/franchises/37'}"",Minnesota"
"52,Winnipeg Jets,WPG,Jets,/api/v1/teams/52,""{'id': 5058, 'name': 'Bell MTS Place', 'link': '/api/v1/venues/5058', 'city': 'Winnipeg', 'timeZone': {'id': 'America/Winnipeg', 'offset': -5, 'tz': 'CDT'}}"",Winnipeg,2011,""{'id': 16, 'name': 'Central', 'nameShort': 'CEN', 'link': '/api/v1/divisions/16', 'abbreviation': 'C'}"",""{'id': 5, 'name': 'Western', 'link': '/api/v1/conferences/5'}"",""{'franchiseId': 35, 'teamName': 'Jets', 'link': '/api/v1/franchises/35'}"",Winnipeg"
"53,Arizona Coyotes,ARI,Coyotes,/api/v1/teams/53,""{'id': 5043, 'name': 'Gila River Arena', 'link': '/api/v1/venues/5043', 'city': 'Glendale', 'timeZone': {'id': 'America/Phoenix', 'offset': -7, 'tz': 'MST'}}"",Arizona,1979,""{'id': 15, 'name': 'Pacific', 'nameShort': 'PAC', 'link': '/api/v1/divisions/15', 'abbreviation': 'P'}"",""{'id': 5, 'name': 'Western', 'link': '/api/v1/conferences/5'}"",""{'franchiseId': 28, 'teamName': 'Coyotes', 'link': '/api/v1/franchises/28'}"",Arizona"
"54,Vegas Golden Knights,VGK,Golden Knights,/api/v1/teams/54,""{'id': 5178, 'name': 'T-Mobile Arena', 'link': '/api/v1/venues/5178', 'city': 'Las Vegas', 'timeZone': {'id': 'America/Los_Angeles', 'offset': -7, 'tz': 'PDT'}}"",Vegas,2016,""{'id': 15, 'name': 'Pacific', 'nameShort': 'PAC', 'link': '/api/v1/divisions/15', 'abbreviation': 'P'}"",""{'id': 5, 'name': 'Western', 'link': '/api/v1/conferences/5'}"",""{'franchiseId': 38, 'teamName': 'Golden Knights', 'link': '/api/v1/franchises/38'}"",Vegas"
